<TICKER>;<PER>;<DATE>;<OPEN>;<CLOSE>;<AMOUNT>;<VOLUME>;<EBITDA>;<FCF>;<OCF>;<OPER INCOME>;<NET INCOME>;<REVENUE>
Sberbank;D;12.08.2022;123,46;124,88;27 223 160;3 377 655 734,9;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;15.08.2022;124,56;125;25 355 480;3 150 239 987,1;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;16.08.2022;125,2;126,39;27 290 920;3 439 359 278,0;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;17.08.2022;126,58;124,5;32 888 950;4 134 398 010,8;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;18.08.2022;124,39;126,3;25 415 410;3 189 014 037,0;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;19.08.2022;126,3;125,2;18 676 990;2 339 575 284,4;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;22.08.2022;125;126,06;24 510 110;3 083 949 126,3;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;23.08.2022;126,06;130,38;65 419 130;8 448 692 324,8;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;24.08.2022;130,6;128,15;45 833 690;5 940 974 237,7;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;25.08.2022;128,15;128,18;36 067 720;4 630 467 612,5;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;26.08.2022;128,02;130,4;32 879 870;4 251 007 186,7;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;29.08.2022;130,12;131,17;40 911 490;5 342 794 309,5;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;30.08.2022;131,17;130,05;51 084 490;6 706 724 051,1;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;31.08.2022;132,3;134,25;107 450 510;14 439 588 088,8;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;01.09.2022;133,99;138,2;54 942 470;7 406 741 299,8;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;02.09.2022;138,8;143,8;136 891 810;19 355 155 393,0;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;05.09.2022;143,5;141;87 603 050;12 371 122 690,1;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;06.09.2022;140,9;137,23;86 674 520;11 990 944 909,2;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;07.09.2022;136,96;136,86;60 753 730;8 339 250 748,2;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;08.09.2022;136,69;134,51;57 744 420;7 829 982 200,8;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;09.09.2022;134,41;138,15;49 115 280;6 696 870 325,8;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;12.09.2022;137,07;138,7;52 610 620;7 304 865 311,8;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;13.09.2022;138,7;137;44 582 700;6 135 930 533,9;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;14.09.2022;136,6;138,9;62 838 520;8 599 239 020,7;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;15.09.2022;139,15;139,48;56 243 810;7 819 974 773,2;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;16.09.2022;139,37;137,73;71 799 280;9 983 110 793,7;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;19.09.2022;137,4;138,04;33 272 190;4 590 344 282,8;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;20.09.2022;137,87;125,1;208 947 780;27 120 994 882,9;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;21.09.2022;112,5;120,23;136 625 430;16 327 145 213,9;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;22.09.2022;120,25;124,31;117 479 960;14 562 188 054,0;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;23.09.2022;124,49;119,39;85 906 070;10 311 649 883,2;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;26.09.2022;114;107,06;148 638 170;16 617 787 749,1;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;27.09.2022;110;112,92;90 981 060;10 025 188 385,2;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;28.09.2022;112;111,06;77 969 660;8 720 766 869,9;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;29.09.2022;111,59;110,41;67 487 760;7 411 211 658,2;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
